org,model_id,primary,backend,curve_type,fixed_voltage,npz_path,n_points,mse_ln,mae_ln,rmse_ln,r2_ln,mse_abs,mae_abs,rmse_abs,r2_abs
Org2,org2_exp1,True,sklearn,output,-26.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg26V_synth_002.npz,1500,0.2077196239569798,0.17539684459632765,0.4557626838136047,0.3223159838049112,0.49389153579187,0.46854300044386915,0.7027741712612026,0.6571061845940688
Org2,org2_exp1,True,sklearn,output,-28.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg28V_synth_003.npz,1500,0.20958510488484047,0.1787283625794075,0.4578046579981908,0.35948543513477915,0.8287238912307054,0.6296935239227162,0.9103427328378612,0.7010176983764044
Org2,org2_exp1,True,sklearn,output,-30.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg30V_synth_004.npz,1500,0.21009898659829343,0.1807780121299847,0.45836556000455947,0.39374790403130666,1.3043991372574963,0.8154107186613886,1.1421029451225035,0.7380432902885476
Org2,org2_exp1,True,sklearn,output,-32.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg32V_synth_000.npz,1500,0.18943682602778264,0.17666980982809033,0.43524341009116113,0.4435350496636875,1.9084306503648016,1.0146236851968689,1.3814596086620852,0.7710550756906337
Org2,org2_exp1,True,sklearn,output,-34.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg34V_synth_001.npz,1500,0.18744419201246768,0.17521196863596825,0.4329482555831212,0.47520523604966947,2.6967557676418665,1.223631443032545,1.6421801873247244,0.8004876937895203
Org2,org2_exp1,True,sklearn,output,-36.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg36V_synth_002.npz,1500,0.18392168636118797,0.17160991330310169,0.4288609172694429,0.5070050948517251,3.6112020489197616,1.4225385990840629,1.9003163023348932,0.8285470559383014
Org2,org2_exp1,True,sklearn,output,-38.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg38V_synth_003.npz,1500,0.17866311603942037,0.1663599985989842,0.42268559951744317,0.5397778545708187,4.590160594872483,1.6040967777643933,2.1424660078686157,0.8552865398584897
Org2,org2_exp1,True,sklearn,output,-40.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg40V_synth_004.npz,1500,0.1716198009698426,0.16086919603454652,0.41427020285055816,0.5738085816805889,5.603273506797117,1.7864546767796612,2.367123466741251,0.8791747604708816
Org2,org2_exp1,True,sklearn,transfer,-42.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg42V_synth_000.npz,1500,0.013029612338001022,0.10261971031035273,0.11414732733621502,0.9991717693136111,2.543980011957449,0.9452336515934606,1.594985897102996,0.978549070216384
Org2,org2_exp1,True,sklearn,transfer,-44.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg44V_synth_001.npz,1500,0.01839493379576951,0.12099820201693308,0.1356279241003471,0.9988311615819127,3.639806091781861,1.1126941167766655,1.9078275843958912,0.9693090318057535
Org2,org2_exp1,True,sklearn,transfer,-46.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg46V_synth_002.npz,1500,0.025300829847673307,0.14089087795068497,0.1590623457882893,0.9983929307020755,5.006524172269284,1.2867571414877443,2.2375263511899215,0.9577718456417894
Org2,org2_exp1,True,sklearn,transfer,-48.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg48V_synth_003.npz,1500,0.03390560079030002,0.16204455465194542,0.18413473542572031,0.9978471198393053,6.636527170684004,1.4633873221186005,2.5761457976372384,0.9439940940351361
Org2,org2_exp1,True,sklearn,transfer,-50.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg50V_synth_004.npz,1500,0.04431552548173553,0.18419452696941735,0.21051253046252502,0.9971870865456066,8.504562075837615,1.6389879360322788,2.916258232022263,0.9281812652957486
Org2,org2_exp1,True,sklearn,output,-42.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg42V_synth_000.npz,1500,0.16314460539081818,0.1575382801651163,0.40391163067039576,0.6085597384844061,6.797143288943497,2.0319629855956296,2.6071331552000747,0.8971558614837634
